Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,Row,Column
ar4,Default,23,0.2149532710280373,69,0.6448598130841121,58,0.5420560747663551,107,29
ar4,Mod,87,0.8130841121495327,53,0.4953271028037383,54,0.5046728971962616,107,29
ar6,Default,22,0.2178217821782178,66,0.6534653465346535,56,0.5544554455445545,101,29
ar6,Mod,73,0.7227722772277227,52,0.5148514851485149,61,0.6039603960396039,101,29
arsenic-female-bladder,Default,56,0.1001788908765653,261,0.4669051878354204,271,0.4847942754919499,559,4
arsenic-female-bladder,Mod,349,0.6243291592128801,283,0.5062611806797853,304,0.5438282647584973,559,4
arsenic-female-lung,Default,56,0.1001788908765653,261,0.4669051878354204,267,0.4776386404293381,559,4
arsenic-female-lung,Mod,331,0.592128801431127,251,0.4490161001788909,336,0.6010733452593918,559,4
arsenic-male-bladder,Default,56,0.1001788908765653,296,0.5295169946332737,286,0.5116279069767442,559,4
arsenic-male-bladder,Mod,348,0.6225402504472272,197,0.3524150268336314,357,0.6386404293381037,559,4
arsenic-male-lung,Default,56,0.1001788908765653,296,0.5295169946332737,294,0.5259391771019678,559,4
arsenic-male-lung,Mod,354,0.6332737030411449,289,0.516994633273703,269,0.481216457960644,559,4
backache,Default,88,0.4888888888888889,102,0.5666666666666667,98,0.5444444444444444,180,31
backache,Mod,120,0.6666666666666666,100,0.5555555555555556,74,0.4111111111111111,180,31
breastw,Default,362,0.5300146412884333,533,0.780380673499268,299,0.4377745241581259,683,9
breastw,Mod,478,0.6998535871156661,562,0.8228404099560761,168,0.2459736456808199,683,9
cardio,Default,1041,0.5685417804478428,1223,0.6679410158383398,866,0.4729655925723648,1831,21
cardio,Mod,1529,0.8350628072091754,1831,1.0,302,0.1649371927908247,1831,21
climate-model-simulation-crashes,Default,272,0.5037037037037037,401,0.7425925925925926,271,0.5018518518518519,540,21
climate-model-simulation-crashes,Mod,309,0.5722222222222222,252,0.4666666666666667,283,0.524074074074074,540,21
datatrieve,Default,77,0.5923076923076923,107,0.823076923076923,60,0.4615384615384615,130,8
datatrieve,Mod,84,0.6461538461538462,92,0.7076923076923077,48,0.3692307692307692,130,8
fertility,Default,48,0.48,59,0.59,43,0.43,100,9
fertility,Mod,76,0.76,67,0.67,35,0.35,100,9
flare,Default,460,0.4315196998123827,549,0.5150093808630394,499,0.4681050656660412,1066,10
flare,Mod,766,0.7185741088180112,1066,1.0,300,0.2814258911819887,1066,10
glass,Default,89,0.4158878504672897,105,0.4906542056074766,86,0.4018691588785046,214,9
glass,Mod,191,0.8925233644859814,193,0.9018691588785048,20,0.0934579439252336,214,9
ionosphere,Default,228,0.6495726495726496,206,0.5868945868945868,146,0.4159544159544159,351,33
ionosphere,Mod,269,0.7663817663817664,336,0.9572649572649572,93,0.2649572649572649,351,33
kc3,Default,397,0.8668122270742358,250,0.5458515283842795,241,0.5262008733624454,458,39
kc3,Mod,351,0.7663755458515283,210,0.4585152838427948,245,0.5349344978165939,458,39
letter,Default,806,0.50375,1316,0.8225,806,0.50375,1600,32
letter,Mod,1373,0.858125,1060,0.6625,593,0.370625,1600,32
