Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,Row,Column
appendicitis,Default,0.07096132758,15,0.1415094339622641,1,3.4106122448979592,0.0321755872160184,0.1764705882352941,0.0,0.0401248499399759,0.0,106,7
appendicitis,Optimal,0.00118308004,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,106,7
ar1,Default,0.00064483084,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,121,29
ar1,Optimal,0.00059022504,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,121,29
ar3,Default,0.00059461842,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,63,29
ar3,Optimal,0.0005723732999999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,63,29
ar4,Default,0.0005961249399999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,107,29
ar4,Optimal,0.00061071086,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,107,29
ar6,Default,0.00058738994,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,101,29
ar6,Optimal,0.0005554433399999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,101,29
arsenic-female-bladder,Default,0.1736064300199999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
arsenic-female-bladder,Optimal,0.0466227875,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
arsenic-female-lung,Default,0.1728113583399999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
arsenic-female-lung,Optimal,0.04662770498,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
arsenic-male-bladder,Default,0.1707436716599999,6,0.0107334525939177,1,2.942857142857143,0.0052645029389215,0.011214953271028,0.0,0.0055006675567423,0.0,559,4
arsenic-male-bladder,Optimal,0.0008558682599999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
arsenic-male-lung,Default,0.1714924741,6,0.0107334525939177,1,3.0293877551020407,0.0054192983096637,0.0109890109890109,0.0,0.0055483292217986,0.0,559,4
arsenic-male-lung,Optimal,0.00090176332,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,559,4
backache,Default,0.00067388988,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,180,31
backache,Optimal,0.0006455158199999,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,180,31
