Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,Row,Column
analcatdata_lawsuit,Optimal,0.00846966912,115,0.4356060606060606,1,35.06040816326531,0.1328045763760049,0.3918367346938775,1.0,0.1149954185755935,0.3624489795918367,264,4
analcatdata_lawsuit,Fast,-1.0,115,0.4356060606060606,1,35.06040816326531,0.1328045763760049,0.3918367346938775,1.0,0.1149954185755935,0.3624489795918367,264,4
analcatdata_neavote,Default,-1.0,97,0.97,1,17.77469387755102,0.1777469387755102,0.967741935483871,1.0,0.1774412991002852,0.1818075801749271,100,3
analcatdata_neavote,Optimal,0.00899022334,22,0.22,1,5.918367346938775,0.0591836734693877,0.2150537634408602,0.2857142857142857,0.060478384902348,0.0419825072886297,100,3
analcatdata_neavote,Fast,-1.0,22,0.22,1,5.918367346938775,0.0591836734693877,0.2150537634408602,0.2857142857142857,0.060478384902348,0.0419825072886297,100,3
annthyroid,Default,-1.0,307,0.0426388888888888,1,74.96489795918367,0.0104117913832199,0.0409540954095409,0.0636704119850187,0.0097735079630412,0.018379576549721,7200,6
annthyroid,Optimal,0.02430279832,1953,0.27125,1,487.9248979591837,0.0677673469387755,0.2635763576357636,0.3670411985018726,0.0652128069949852,0.0996560421921577,7200,6
annthyroid,Fast,-1.0,1953,0.27125,1,487.9248979591837,0.0677673469387755,0.2635763576357636,0.3670411985018726,0.0652128069949852,0.0996560421921577,7200,6
appendicitis,Default,-1.0,15,0.1415094339622641,1,4.382040816326531,0.0413400077011936,0.1176470588235294,0.238095238095238,0.0308859543817527,0.0836540330417881,106,7
appendicitis,Optimal,0.00895658422,24,0.2264150943396226,1,6.14530612244898,0.0579745860608394,0.188235294117647,0.3809523809523809,0.049767106842737,0.0911953352769679,106,7
appendicitis,Fast,-1.0,24,0.2264150943396226,1,6.14530612244898,0.0579745860608394,0.188235294117647,0.3809523809523809,0.049767106842737,0.0911953352769679,106,7
ar1,Default,-1.0,83,0.6859504132231405,1,20.347755102040814,0.1681632653061224,0.6696428571428571,0.8888888888888888,0.1606195335276967,0.2620408163265306,121,29
