Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
ar3,Mod,54,0.8571428571428571,45,0.7142857142857143,19,0.3015873015873015,3,0.5,5,0.8333333333333334,45,0.9375,1,0.5,41,0.8723404255319149,0,0.0,0,0.0,4,0.6666666666666666,7,0.1489361702127659,2,1.0,8,0.1666666666666666,2,1.0,63,29
ar4,Default,25,0.2336448598130841,69,0.6448598130841121,62,0.5794392523364486,9,0.1216216216216216,1,1.0,13,0.1666666666666666,2,1.0,13,0.2954545454545454,12,1.0,43,0.581081081081081,1,1.0,7,0.1590909090909091,11,0.9166666666666666,42,0.5316455696202531,2,0.6666666666666666,107,29
ar4,Mod,92,0.8598130841121495,27,0.2523364485981308,87,0.8130841121495327,2,0.2222222222222222,16,1.0,72,0.9113924050632912,2,1.0,15,0.8823529411764706,3,0.1764705882352941,7,0.7777777777777778,2,0.125,4,0.2352941176470588,17,1.0,65,0.8333333333333334,1,1.0,107,29
ar6,Default,32,0.3168316831683168,66,0.6534653465346535,56,0.5544554455445545,8,0.1194029850746268,3,1.0,19,0.2435897435897435,2,1.0,16,0.3720930232558139,7,1.0,40,0.5970149253731343,3,1.0,7,0.1627906976744186,7,1.0,41,0.5324675324675324,1,1.0,101,29
ar6,Mod,81,0.801980198019802,31,0.3069306930693069,72,0.7128712871287128,4,0.3333333333333333,11,0.9166666666666666,65,0.8904109589041096,1,0.5,21,0.8076923076923077,1,0.0909090909090909,7,0.5833333333333334,2,0.1666666666666666,5,0.1923076923076923,9,0.8181818181818182,55,0.7236842105263158,3,0.6,101,29
arsenic-female-bladder,Default,56,0.1001788908765653,261,0.4669051878354204,281,0.5026833631484794,51,0.1064718162839248,0,0.0,0,0.0,5,1.0,0,0.0,58,1.0,203,0.4237995824634655,0,0.0,33,0.1195652173913043,55,0.9482758620689656,188,0.4361948955916473,5,0.625,559,4
arsenic-female-bladder,Mod,363,0.6493738819320215,282,0.5044722719141324,317,0.5670840787119857,36,0.3157894736842105,38,0.8260869565217391,275,0.7790368271954674,14,0.6363636363636364,186,0.7591836734693878,19,0.4418604651162791,55,0.4824561403508772,22,0.4782608695652174,82,0.3346938775510204,37,0.8604651162790697,186,0.5329512893982808,12,0.6666666666666666,559,4
arsenic-female-lung,Default,56,0.1001788908765653,261,0.4669051878354204,277,0.4955277280858676,52,0.0962962962962963,0,0.0,0,0.0,4,1.0,0,0.0,18,1.0,243,0.45,0,0.0,36,0.1212121212121212,18,1.0,223,0.4607438016528926,0,0.0,559,4
arsenic-female-lung,Mod,365,0.6529516994633273,232,0.4150268336314848,351,0.627906976744186,42,0.328125,3,1.0,315,0.7855361596009975,5,1.0,124,0.775,15,0.8823529411764706,92,0.71875,1,0.3333333333333333,48,0.3,11,0.6470588235294118,291,0.7220843672456576,1,0.1428571428571428,559,4
arsenic-male-bladder,Default,56,0.1001788908765653,296,0.5295169946332737,306,0.5474060822898033,53,0.0990654205607476,0,0.0,0,0.0,3,1.0,0,0.0,21,1.0,275,0.514018691588785,0,0.0,32,0.123076923076923,18,0.8571428571428571,255,0.5279503105590062,1,0.25,559,4
arsenic-male-bladder,Mod,372,0.6654740608228981,255,0.4561717352415027,343,0.6135957066189625,46,0.3622047244094488,8,1.0,314,0.7949367088607595,4,1.0,144,0.8,15,0.8333333333333334,91,0.7165354330708661,5,0.625,52,0.2888888888888888,12,0.6666666666666666,274,0.681592039800995,5,0.4545454545454545,559,4
arsenic-male-lung,Default,56,0.1001788908765653,296,0.5295169946332737,308,0.5509838998211091,54,0.0989010989010989,0,0.0,0,0.0,2,1.0,0,0.0,13,1.0,283,0.5183150183150184,0,0.0,34,0.1292775665399239,12,0.9230769230769232,262,0.5336048879837068,0,0.0,559,4
