Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
optdigits,Mod,1,0.000191718,1,0.000191718,0,0.0,0,0.0,0,0.0,1,0.000197628,0,0.0,1,0.000197628,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5216,64
pc1,Default,669,0.603246168,652,0.587917042,17,0.015329125,0,0.0,42,0.893617021,627,0.627627628,0,0.0,613,0.622335025,0,0.0,0,0.0,39,0.829787234,0,0.0,3,0.375,14,0.014014014,0,0.0,1109,21
pc1,Mod,1,0.000901713,1,0.000901713,0,0.0,0,0.0,0,0.0,1,0.001015228,0,0.0,1,0.001015228,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1109,21
pima,Default,574,0.747395833,560,0.729166667,14,0.018229167,0,0.0,219,0.98206278,355,0.714285714,0,0.0,345,0.708418891,0,0.0,0,0.0,215,0.964125561,0,0.0,4,0.5,10,0.020120724,0,0.0,768,8
pima,Mod,1,0.001302083,1,0.001302083,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,0,0.0,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,768,8
satellite,Default,5499,0.854545455,5370,0.834498834,129,0.02004662,0,0.0,1733,1.0,3766,0.856493063,0,0.0,3706,0.854507724,0,0.0,0,0.0,1664,0.960184651,0,0.0,69,1.0,60,0.013645668,0,0.0,6435,36
satellite,Mod,10,0.001554002,9,0.001398601,1,0.0001554,3,0.000691563,1,0.015384615,1,0.000230627,5,0.072463768,1,0.000230574,5,0.072463768,2,0.000461042,1,0.015384615,1,0.000230574,0,0.0,0,0.0,0,0.0,6435,36
satimage-2,Default,4948,0.852662416,4815,0.829743236,133,0.02291918,0,0.0,54,1.0,4894,0.854548629,0,0.0,4772,0.851382694,0,0.0,0,0.0,43,0.796296296,0,0.0,11,1.0,122,0.021302602,0,0.0,5803,36
satimage-2,Mod,8,0.001378597,7,0.001206273,1,0.000172325,8,0.001425517,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.001247327,0,0.0,1,0.000178412,0,0.0,0,0.0,0,0.0,5803,36
spambase,Default,3250,0.706368181,3028,0.6581178,222,0.04825038,0,0.0,1300,0.969425802,1950,0.735571482,0,0.0,1804,0.720159681,0,0.0,0,0.0,1224,0.912751678,0,0.0,76,0.64957265,146,0.055073557,0,0.0,4601,57
spambase,Mod,33,0.007172354,33,0.007172354,4,0.000869376,17,0.006762132,4,0.034188034,6,0.002397123,6,0.050420168,7,0.002794411,5,0.042735043,16,0.00636436,5,0.042735043,2,0.000798403,0,0.0,0,0.0,2,0.016806723,4601,57
thoracic_surgery,Default,218,0.463829787,217,0.461702128,1,0.00212766,0,0.0,35,0.972222222,183,0.474093264,0,0.0,183,0.474093264,0,0.0,0,0.0,34,0.944444444,0,0.0,1,0.5,0,0.0,0,0.0,470,17
thoracic_surgery,Mod,1,0.00212766,1,0.00212766,0,0.0,0,0.0,1,0.333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333333,0,0.0,0,0.0,0,0.0,0,0.0,470,17
thyroid,Default,3280,0.869565217,3166,0.839342524,114,0.030222694,0,0.0,84,0.903225806,3196,0.875136911,0,0.0,3097,0.871657754,0,0.0,0,0.0,69,0.741935484,0,0.0,15,0.625,99,0.027108434,0,0.0,3772,6
thyroid,Mod,25,0.006627784,28,0.007423118,5,0.001325557,5,0.001413228,1,0.043478261,17,0.004788732,2,0.083333333,20,0.005629046,2,0.083333333,5,0.001413228,1,0.043478261,4,0.001125809,0,0.0,1,0.00028169,0,0.0,3772,6
vertebral,Default,172,0.716666667,163,0.679166667,9,0.0375,0,0.0,22,1.0,150,0.721153846,0,0.0,142,0.71,0,0.0,0,0.0,21,0.954545455,0,0.0,1,1.0,8,0.038461538,0,0.0,240,6
vertebral,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,240,6
visualizing_livestock,Default,70,0.538461538,70,0.538461538,0,0.0,0,0.0,10,1.0,60,0.571428571,0,0.0,60,0.571428571,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,130,2
visualizing_livestock,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,130,2
vowels,Default,1129,0.775412088,1113,0.764423077,16,0.010989011,0,0.0,50,1.0,1079,0.76742532,0,0.0,1070,0.765926986,0,0.0,0,0.0,43,0.86,0,0.0,7,1.0,9,0.006401138,0,0.0,1456,12
vowels,Mod,2,0.001373626,2,0.001373626,0,0.0,0,0.0,0,0.0,1,0.00071582,1,0.142857143,1,0.00071582,1,0.142857143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1456,12
wbc,Default,331,0.875661376,304,0.804232804,27,0.071428571,0,0.0,21,1.0,310,0.870786517,0,0.0,294,0.864705882,0,0.0,0,0.0,10,0.476190476,0,0.0,11,1.0,16,0.04494382,0,0.0,378,30
wbc,Mod,3,0.007936508,3,0.007936508,0,0.0,1,0.002949853,0,0.0,2,0.005882353,0,0.0,2,0.005882353,0,0.0,1,0.002949853,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,378,30
wine,Default,71,0.550387597,55,0.426356589,16,0.124031008,0,0.0,5,0.5,66,0.554621849,0,0.0,55,0.509259259,0,0.0,0,0.0,0,0.0,0,0.0,5,0.5,11,0.092436975,0,0.0,129,13
wine,Mod,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,129,13
