Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage
annthyroid,Default,1.9898898400001053,6,0.0008333333333333334,1,2.20734693877551,0.00030657596371882085
annthyroid,Optimal,1.95383031999987,4,0.0005555555555555556,2,1.1706122448979592,0.00016258503401360544
annthyroid,Fast,2.010747099999935,441,0.06125,1,136.43755102040816,0.01894965986394558
appendicitis,Default,0.031804000000011004,4,0.03773584905660377,4,0.23673469387755103,0.0022333461686561418
appendicitis,Optimal,0.03144916000004741,3,0.02830188679245283,4,0.6620408163265306,0.006245668078552175
appendicitis,Fast,0.03110556000010547,33,0.3113207547169811,8,6.7004081632653065,0.06321139776665384
ar1,Default,0.15553665999996155,18,0.1487603305785124,3,5.435918367346939,0.04492494518468544
ar1,Optimal,0.14213245999999344,33,0.2727272727272727,5,6.419591836734694,0.05305447798954292
ar1,Fast,0.14804496000000655,30,0.24793388429752067,10,6.176326530612245,0.051044020914150785
ar3,Default,0.15066070000011678,12,0.19047619047619047,5,2.829387755102041,0.04491091674765144
ar3,Optimal,0.1345658600000752,7,0.1111111111111111,4,1.4351020408163266,0.022779397473275027
ar3,Fast,0.13414369999980408,6,0.09523809523809523,4,1.253877551020408,0.01990281827016521
ar4,Default,0.17554221999998845,8,0.07476635514018691,2,2.0114285714285716,0.018798397863818424
ar4,Optimal,0.17745051999994757,6,0.056074766355140186,2,2.0653061224489795,0.019301926378027846
ar4,Fast,0.1416687400000592,16,0.14953271028037382,4,3.635918367346939,0.033980545489223725
ar6,Default,0.1855312399999093,11,0.10891089108910891,6,3.243265306122449,0.03211153768438068
ar6,Optimal,0.1751765200000227,15,0.1485148514851485,9,3.470204081632653,0.034358456253788645
ar6,Fast,0.1371816000000399,27,0.26732673267326734,14,4.437551020408163,0.04393614871691251
arsenic-female-bladder,Default,0.2636662199999773,0,0.0,-1,0,0
arsenic-female-bladder,Optimal,0.2394065000000046,0,0.0,-1,0,0
arsenic-female-bladder,Fast,0.21252432000008412,2,0.0035778175313059034,5,1.0057142857142858,0.001799131101456683
arsenic-female-lung,Default,0.23779046000017842,0,0.0,-1,0,0
arsenic-female-lung,Optimal,0.2381409999999596,0,0.0,-1,0,0
arsenic-female-lung,Fast,0.2120235999999568,2,0.0035778175313059034,1,1.0187755102040816,0.0018224964404366397
arsenic-male-bladder,Default,0.23455862000002525,0,0.0,-1,0,0
arsenic-male-bladder,Optimal,0.2349781000000803,0,0.0,-1,0,0
arsenic-male-bladder,Fast,0.21081989999991493,0,0.0,-1,0,0
arsenic-male-lung,Default,0.2345057400000951,0,0.0,-1,0,0
arsenic-male-lung,Optimal,0.23513494000024365,0,0.0,-1,0,0
arsenic-male-lung,Fast,0.21058048000017152,0,0.0,-1,0,0
backache,Default,0.16380692000006092,58,0.32222222222222224,3,16.502857142857142,0.09168253968253967
backache,Optimal,0.16562361999996938,83,0.46111111111111114,4,21.355918367346938,0.1186439909297052
backache,Fast,0.13997174000000087,107,0.5944444444444444,3,31.206530612244897,0.17336961451247165
breastw,Default,0.5085620400001426,111,0.16251830161054173,2,29.384489795918366,0.043022679056981504
breastw,Optimal,0.5138360399999147,119,0.17423133235724744,10,27.187755102040818,0.03980637643051364
breastw,Fast,0.33012701999992716,178,0.26061493411420206,7,48.245714285714286,0.0706379418531688
cardio,Default,2.749586559999807,92,0.05024576734025123,4,27.088979591836736,0.014794636587567852
cardio,Optimal,2.907491379999883,31,0.016930638995084655,2,9.713469387755103,0.005305007857867342
cardio,Fast,2.33347264,343,0.18732932823593665,2,82.3534693877551,0.0449773180708657
climate-model-simulation-crashes,Default,1.7426930400000493,26,0.04814814814814815,7,5.959183673469388,0.011035525321239607
climate-model-simulation-crashes,Optimal,1.7459564999999566,25,0.046296296296296294,2,5.572244897959184,0.010318972033257748
climate-model-simulation-crashes,Fast,1.6366700600001058,114,0.2111111111111111,4,24.07673469387755,0.04458654572940287
datatrieve,Default,0.027491720000107307,10,0.07692307692307693,3,2.6285714285714286,0.020219780219780218
datatrieve,Optimal,0.027522119999848656,12,0.09230769230769231,1,3.036734693877551,0.023359497645211932
datatrieve,Fast,0.025395579999894835,36,0.27692307692307694,6,7.866122448979592,0.06050863422291994
fertility,Default,0.03664229999943927,22,0.22,1,6.076734693877551,0.06076734693877551
fertility,Optimal,0.038544939999846976,2,0.02,48,0.08,0.0008
fertility,Fast,0.028625800000299934,61,0.61,6,12.29877551020408,0.12298775510204081
flare,Default,0.4358460199998808,215,0.20168855534709193,25,35.05469387755102,0.03288432821533867
flare,Optimal,0.4146403399996052,160,0.150093808630394,5,32.751020408163264,0.03072328368495616
flare,Fast,0.3793762999997125,374,0.350844277673546,5,77.14857142857143,0.07237201822567677
glass,Default,0.036003560000172,13,0.06074766355140187,11,2.9093877551020406,0.013595269883654395
glass,Optimal,0.03624011999971117,0,0.0,-1,0,0
glass,Fast,0.031778180000037536,14,0.06542056074766354,2,3.9918367346938775,0.018653442685485407
ionosphere,Default,0.35737740000004126,14,0.039886039886039885,2,3.6081632653061226,0.010279667422524567
ionosphere,Optimal,0.36028274000025706,8,0.022792022792022793,10,1.133061224489796,0.003228094656666085
ionosphere,Fast,0.4064840399999957,87,0.24786324786324787,6,16.459591836734695,0.04689342403628118
kc3,Default,0.4365436400004546,54,0.11790393013100436,45,6.517551020408163,0.014230460743249265
kc3,Optimal,0.3593611600002623,37,0.08078602620087336,7,4.031020408163266,0.008801354602976562
kc3,Fast,0.3586029199998302,38,0.08296943231441048,13,4.679183673469388,0.01021655823901613
letter,Default,9.998641340000177,261,0.163125,28,15.123265306122448,0.00945204081632653
letter,Optimal,10.125114500000054,14,0.00875,15,2.217142857142857,0.0013857142857142857
letter,Fast,5.203082259999719,393,0.245625,3,101.25224489795919,0.06328265306122449
lungcancer_GSE31210,Default,0.11692425999986882,12,0.05309734513274336,3,2.991020408163265,0.013234603575943651
lungcancer_GSE31210,Optimal,0.11799183999974047,15,0.06637168141592921,10,3.2114285714285713,0.014209860935524652
lungcancer_GSE31210,Fast,0.11180184000055306,77,0.3407079646017699,3,16.61877551020408,0.07353440491240744
lympho,Default,0.08430924000007507,36,0.24324324324324326,4,8.208979591836735,0.05546607832322119
lympho,Optimal,0.07960621999998693,46,0.3108108108108108,1,13.064489795918368,0.08827357970215113
lympho,Fast,0.06576904000001377,125,0.8445945945945946,9,30.93877551020408,0.2090457804743519
mw1,Default,0.37917285999996236,31,0.07692307692307693,4,7.488979591836735,0.01858307591026485
mw1,Optimal,0.38490160000001195,34,0.08436724565756824,17,6.365714285714286,0.015795817086139665
mw1,Fast,0.3469704400000046,85,0.2109181141439206,8,18.18122448979592,0.045114700967235535
optdigits,Default,13.156735859999971,1158,0.22200920245398773,3,386.8783673469388,0.07417146613246525
optdigits,Optimal,13.25183189999967,1608,0.30828220858895705,3,417.7469387755102,0.080089520470765
optdigits,Fast,11.395606659999975,2775,0.5320168711656442,3,729.0751020408163,0.13977666833604607
pc1,Default,2.3617341600001964,48,0.04328223624887286,11,11.758367346938776,0.010602675696067427
pc1,Optimal,2.2500800599997457,39,0.0351668169522092,3,9.957551020408163,0.008978855744281481
pc1,Fast,2.169486800000159,42,0.03787195671776375,1,8.88326530612245,0.008010158075854328
pima,Default,0.5774285799997597,8,0.010416666666666666,2,2.125714285714286,0.002767857142857143
pima,Optimal,0.5652196399996319,2,0.0026041666666666665,38,0.08,0.00010416666666666667
pima,Fast,0.52305867999974,49,0.06380208333333333,33,7.317551020408163,0.009528061224489796
satellite,Default,22.629232479999917,2,0.0003108003108003108,1,0.08,1.2432012432012433e-05
satellite,Optimal,22.968604239999912,2,0.0003108003108003108,17,0.23020408163265307,3.5773750059464345e-05
satellite,Fast,24.282211919999973,33,0.005128205128205128,2,9.882448979591837,0.0015357341071626787
satimage-2,Default,21.679634120000337,6,0.001033947957952783,3,1.606530612244898,0.0002768448409865411
satimage-2,Optimal,21.553844580000078,3,0.0005169739789763915,5,0.5012244897959184,8.637333961673589e-05
satimage-2,Fast,21.80298524000027,6,0.001033947957952783,4,1.593469387755102,0.00027459406992160986
thoracic_surgery,Default,0.08353676000027917,105,0.22340425531914893,3,30.052244897959184,0.06394094659140252
thoracic_surgery,Optimal,0.07314774000005855,5,0.010638297872340425,3,1.3893877551020408,0.002956144159791576
thoracic_surgery,Fast,0.07015708000006271,9,0.019148936170212766,2,1.476734693877551,0.003141988710377768
thyroid,Default,1.2303618199998891,6,0.0015906680805938495,6,1.177142857142857,0.00031207392819269805
thyroid,Optimal,1.2035641199999372,6,0.0015906680805938495,1,1.8024489795918368,0.00047784967645594825
thyroid,Fast,1.1999107400000504,294,0.07794273594909862,1,103.62122448979592,0.027471162377994678
vertebral,Default,0.04538752000014938,0,0.0,-1,0,0
vertebral,Optimal,0.046074660000158474,0,0.0,-1,0,0
vertebral,Fast,0.03295761999994284,27,0.1125,17,4.945306122448979,0.02060544217687075
visualizing_livestock,Default,0.016529499999669496,0,0.0,-1,0,0
visualizing_livestock,Optimal,0.013778699999820674,0,0.0,-1,0,0
visualizing_livestock,Fast,0.013137660000065807,15,0.11538461538461539,8,1.2914285714285714,0.009934065934065933
vowels,Default,1.5154412200002116,0,0.0,-1,0,0
vowels,Optimal,1.5221436399997037,0,0.0,-1,0,0
vowels,Fast,1.2904606000001513,199,0.13667582417582416,5,58.120816326530615,0.03991814308140839
wbc,Default,0.4684918199999811,4,0.010582010582010581,3,0.23673469387755103,0.0006262822589353202
wbc,Optimal,0.480650180000448,4,0.010582010582010581,3,0.16,0.0004232804232804233
wbc,Fast,0.4234253200000967,35,0.09259259259259259,6,7.7877551020408164,0.020602526724975704
wine,Default,0.07022209999988263,3,0.023255813953488372,1,1.056326530612245,0.008188577756684069
wine,Optimal,0.06570901999970374,5,0.03875968992248062,37,1.0726530612244898,0.00831514000949217
wine,Fast,0.04609418000007281,68,0.5271317829457365,6,16.360816326530614,0.12682803353899702
