Filename,Mode,AvgTimeElapsed,Flipped,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage
datatrieve,Default,0.0008868375200000002,0,-1,0,0
datatrieve,Optimal,0.0007988574800000001,0,-1,0,0
datatrieve,Fast,-1.0,0,-1,0,0
fertility,Default,0.0010981591800000002,0,-1,0,0
fertility,Optimal,0.0010366166,0,-1,0,0
fertility,Fast,-1.0,0,-1,0,0
flare,Default,0.00108033572,0,-1,0,0
flare,Optimal,0.0011162575399999999,0,-1,0,0
flare,Fast,-1.0,0,-1,0,0
glass,Default,0.00085344324,0,-1,0,0
glass,Optimal,0.00087151756,0,-1,0,0
glass,Fast,-1.0,0,-1,0,0
ionosphere,Default,0.0013601708200000001,0,-1,0,0
ionosphere,Optimal,0.0012070499999999999,0,-1,0,0
ionosphere,Fast,-1.0,0,-1,0,0
kc3,Default,0.00141331254,0,-1,0,0
