Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage
kc3,Default,397,0.8668122270742358,250,0.5458515283842795,241,0.5262008733624454
kc3,Mod,351,0.7663755458515283,210,0.4585152838427948,245,0.5349344978165939
letter,Default,806,0.50375,1316,0.8225,806,0.50375
letter,Mod,1373,0.858125,1060,0.6625,593,0.370625
lungcancer_GSE31210,Default,113,0.5,122,0.5398230088495575,113,0.5
lungcancer_GSE31210,Mod,175,0.7743362831858407,226,1.0,51,0.22566371681415928
lympho,Default,85,0.5743243243243243,74,0.5,73,0.49324324324324326
lympho,Mod,86,0.581081081081081,124,0.8378378378378378,68,0.4594594594594595
mw1,Default,232,0.575682382133995,293,0.7270471464019851,207,0.5136476426799007
mw1,Mod,330,0.8188585607940446,179,0.4441687344913151,227,0.5632754342431762
optdigits,Default,2230,0.42753067484662577,2607,0.49980828220858897,2633,0.504792944785276
optdigits,Mod,2403,0.4606978527607362,5216,1.0,2813,0.5393021472392638
pc1,Default,111,0.10009017132551848,554,0.4995491433724076,555,0.5004508566275925
pc1,Mod,917,0.8268710550045085,401,0.36158701532912535,690,0.6221821460775473
pima,Default,390,0.5078125,555,0.72265625,385,0.5013020833333334
pima,Mod,602,0.7838541666666666,497,0.6471354166666666,277,0.3606770833333333
satellite,Default,3226,0.5013209013209013,5129,0.797047397047397,3205,0.49805749805749805
satellite,Mod,4752,0.7384615384615385,2819,0.43807303807303805,3549,0.5515151515151515
satimage-2,Default,2861,0.49302085128381873,4361,0.7515078407720145,2940,0.5066344993968637
satimage-2,Mod,5237,0.9024642426331208,2384,0.4108219886265725,3501,0.6033086334654489
thoracic_surgery,Default,242,0.5148936170212766,285,0.6063829787234043,227,0.4829787234042553
thoracic_surgery,Mod,338,0.7191489361702128,251,0.5340425531914894,217,0.46170212765957447
thyroid,Default,1655,0.4387592788971368,1876,0.4973488865323436,1507,0.3995227995758218
thyroid,Mod,3520,0.9331919406150583,3479,0.922322375397667,65,0.0172322375397667
vertebral,Default,121,0.5041666666666667,203,0.8458333333333333,122,0.5083333333333333
vertebral,Mod,200,0.8333333333333334,120,0.5,124,0.5166666666666667
visualizing_livestock,Default,65,0.5,107,0.823076923076923,66,0.5076923076923077
visualizing_livestock,Mod,82,0.6307692307692307,85,0.6538461538461539,51,0.3923076923076923
vowels,Default,647,0.44436813186813184,726,0.49862637362637363,685,0.47046703296703296
vowels,Mod,1225,0.8413461538461539,1456,1.0,231,0.15865384615384615
wbc,Default,162,0.42857142857142855,177,0.46825396825396826,149,0.3941798941798942
wbc,Mod,351,0.9285714285714286,347,0.917989417989418,22,0.0582010582010582
wine,Default,65,0.5038759689922481,74,0.5736434108527132,59,0.4573643410852713
wine,Mod,100,0.7751937984496124,50,0.3875968992248062,74,0.5736434108527132
