Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
PizzaCutter3,Default,104,0.09971236816874401,522,0.5004793863854267,504,0.48322147651006714,92,0.10043668122270742,0,0,0,0.0,12,1.0,0,0.0,38,1.0,484,0.5283842794759825,0,0,36,0.08333333333333333,33,0.868421052631579,428,0.5194174757281553,7,0.5833333333333334
PizzaCutter3,Mod,876,0.8398849472674976,485,0.4650047938638543,561,0.5378715244487057,3,0.041666666666666664,105,0.9545454545454546,767,0.9174641148325359,1,0.16666666666666666,369,0.9413265306122449,11,0.16923076923076924,49,0.6805555555555556,56,0.509090909090909,25,0.06377551020408163,56,0.8615384615384616,476,0.564650059311981,4,0.3076923076923077
analcatdata_apnea1,Default,182,0.3831578947368421,412,0.8673684210526316,182,0.3831578947368421,0,0.0,23,1.0,159,0.4332425068119891,0,0,185,0.8486238532110092,31,0.9393939393939394,175,0.8413461538461539,21,0.9130434782608695,0,0.0,29,0.8787878787878788,153,0.4123989218328841,0,0.0
analcatdata_apnea1,Mod,437,0.92,388,0.8168421052631579,79,0.16631578947368422,0,0.0,55,0.9821428571428571,382,0.9622166246851386,0,0.0,328,0.973293768545994,2,0.3333333333333333,6,0.4,52,0.9285714285714286,4,0.011869436201780416,3,0.5,69,0.17164179104477612,3,0.5
analcatdata_apnea2,Default,194,0.40842105263157896,412,0.8673684210526316,182,0.3831578947368421,6,0.028985507246376812,25,1.0,163,0.4478021978021978,0,0,183,0.8472222222222222,32,0.9411764705882353,174,0.8405797101449275,23,0.92,0,0.0,27,0.7941176470588235,155,0.41778975741239893,0,0.0
analcatdata_apnea2,Mod,422,0.888421052631579,389,0.8189473684210526,73,0.15368421052631578,0,0.0,57,0.9827586206896551,365,0.9431524547803618,0,0.0,329,0.9563953488372093,2,0.2222222222222222,7,0.3181818181818182,51,0.8793103448275862,11,0.03197674418604651,8,0.8888888888888888,54,0.13953488372093023,0,0.0
analcatdata_apnea3,Default,176,0.39111111111111113,402,0.8933333333333333,176,0.39111111111111113,0,0.0,19,0.7916666666666666,157,0.4422535211267606,0,0.0,179,0.8817733990147784,27,0.9310344827586207,174,0.8787878787878788,22,0.9166666666666666,0,0.0,23,0.7931034482758621,153,0.4297752808988764,0,0.0
analcatdata_apnea3,Mod,415,0.9222222222222223,374,0.8311111111111111,73,0.1622222222222222,0,0.0,45,0.9,370,0.9536082474226805,0,0.0,316,0.9693251533742331,3,0.5,8,0.4444444444444444,47,0.94,5,0.015337423312883436,6,1.0,62,0.1618798955613577,0,0
analcatdata_challenger,Default,60,0.43478260869565216,84,0.6086956521739131,60,0.43478260869565216,0,0.0,4,1.0,56,0.47863247863247865,0,0,41,0.640625,4,0.5714285714285714,38,0.6229508196721312,1,0.25,0,0.0,6,0.8571428571428571,54,0.4576271186440678,0,0.0
analcatdata_challenger,Mod,66,0.4782608695652174,84,0.6086956521739131,30,0.21739130434782608,12,0.26666666666666666,4,0.6666666666666666,50,0.6024096385542169,0,0.0,49,0.7538461538461538,1,0.5,29,0.6444444444444445,5,0.8333333333333334,4,0.06153846153846154,1,0.5,23,0.27380952380952384,2,0.6666666666666666
analcatdata_chlamydia,Default,38,0.38,94,0.94,42,0.42,0,0.0,9,0.8181818181818182,29,0.3972602739726027,0,0.0,34,0.9444444444444444,7,1.0,42,0.9545454545454546,11,1.0,0,0.0,3,0.42857142857142855,39,0.52,0,0.0
analcatdata_chlamydia,Mod,86,0.86,74,0.74,26,0.26,0,0.0,17,1.0,69,0.8518518518518519,0,0,55,0.9016393442622951,1,0.16666666666666666,6,0.5,12,0.7058823529411765,0,0.0,6,1.0,20,0.24691358024691357,0,0
analcatdata_lawsuit,Default,122,0.4621212121212121,246,0.9318181818181818,120,0.45454545454545453,8,0.07079646017699115,0,0,114,0.5205479452054794,0,0,123,0.9318181818181818,19,1.0,104,0.9203539823008849,0,0,7,0.05303030303030303,18,0.9473684210526315,95,0.4318181818181818,0,0.0
analcatdata_lawsuit,Mod,139,0.5265151515151515,148,0.5606060606060606,105,0.3977272727272727,13,0.19402985074626866,0,0.0,119,0.6878612716763006,7,0.7,107,0.7642857142857142,6,0.75,34,0.5074626865671642,1,0.3333333333333333,36,0.2571428571428571,7,0.875,61,0.3696969696969697,1,0.5
analcatdata_neavote,Default,42,0.42,89,0.89,41,0.41,1,0.02127659574468085,4,1.0,37,0.4457831325301205,0,0,41,0.8723404255319149,3,1.0,41,0.8723404255319149,4,1.0,1,0.02127659574468085,3,1.0,37,0.4457831325301205,0,0
analcatdata_neavote,Mod,41,0.41,48,0.48,43,0.43,10,0.2777777777777778,3,0.75,28,0.5185185185185185,0,0.0,28,0.6086956521739131,1,0.25,18,0.5,1,0.25,16,0.34782608695652173,3,0.75,24,0.4444444444444444,0,0.0
annthyroid,Default,3485,0.4840277777777778,3567,0.49541666666666667,2880,0.4,335,0.09684880023128072,203,0.8675213675213675,2900,0.4814077025232404,47,0.6025641025641025,1614,0.4776561112755253,169,0.5399361022364217,1694,0.48973691818444637,90,0.38461538461538464,0,0.0,235,0.7507987220447284,2645,0.4390770252324037,0,0.0
