Filename,Mode,AvgFlippedPerRunPercentage,,,,,,,,,,,,,,,,,,
pima,Fast,0.100045706,,,,,,,,,,,,,,,,,,
satellite,Default,0.025608423,,,,,,,,,,,,,,,,,,
satellite,Optimal,0.011702203,,,,,,,,,,,,,,,,,,
satellite,Fast,0.086357325,,,,,,,,,,,,,,,,,,
satimage-2,Default,0.029863653,,,,,,,,,,,,,,,,,,
satimage-2,Optimal,0.004245658,,,,,,,,,,,,,,,,,,
satimage-2,Fast,0.121962532,,,,,,,,,,,,,,,,,,
thoracic_surgery,Default,0.037023013,,,,,,,,,,,,,,,,,,
thoracic_surgery,Optimal,0.015867998,,,,,,,,,,,,,,,,,,
thoracic_surgery,Fast,0.083032566,,,,,,,,,,,,,,,,,,
thyroid,Default,0.018193997,,,,,,,,,,,,,,,,,,
thyroid,Optimal,0.006604627,,,,,,,,,,,,,,,,,,
thyroid,Fast,0.051874391,,,,,,,,,,,,,,,,,,
vertebral,Default,0.026731293,,,,,,,,,,,,,,,,,,
vertebral,Optimal,0.011785714,,,,,,,,,,,,,,,,,,
vertebral,Fast,0.093653061,,,,,,,,,,,,,,,,,,
visualizing_livestock,Default,0.137676609,,,,,,,,,,,,,,,,,,
visualizing_livestock,Optimal,0,,,,,,,,,,,,,,,,,,
visualizing_livestock,Fast,0.138618524,,,,,,,,,,,,,,,,,,
vowels,Default,0.059200493,,,,,,,,,,,,,,,,,,
vowels,Optimal,0.010290424,,,,,,,,,,,,,,,,,,
vowels,Fast,0.172380018,,,,,,,,,,,,,,,,,,
wbc,Default,0.014933592,,,,,,,,,,,,,,,,,,
wbc,Optimal,0.015283447,,,,,,,,,,,,,,,,,,
wbc,Fast,0.051044164,,,,,,,,,,,,,,,,,,
wine,Default,0.048321468,,,,,,,,,,,,,,,,,,
wine,Optimal,0.019889258,,,,,,,,,,,,,,,,,,
wine,Fast,0.110096504,,,,,,,,,,,,,,,,,,
